scrapeDatetime,url,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po4,po3,CAGR
"03/26/2022, 13:22:32",https://www.realtor.ca/real-estate/24171682/361-arklow-drive-cole-harbour-cole-harbour,279900,361 Arklow Drive,"Cole Harbour, Nova Scotia B2W4S1",B2W4S1,MLS  Number: 202204821,3,3,1,Single Family,Row / Townhouse,2,Cole Harbour,Freehold,under 1/2 acre,1978,,3 days,,1200,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,,,B2W4,B2W,0
"03/26/2022, 13:23:16",https://www.realtor.ca/real-estate/24171683/570-indian-road-upper-nine-mile-river-upper-nine-mile-river,395000,570 Indian Road,"Upper Nine Mile River, Nova Scotia B2S3E2",B2S3E2,MLS  Number: 202204823,4,4,2,Single Family,House,2,Upper Nine Mile River,Freehold,1 - 3 acres,1992,"Garage, Detached Garage, Gravel, Parking Space(s)",3 days,,1944,"Cooktop, Oven, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished),B2S3,B2S,0
"03/26/2022, 13:23:46",https://www.realtor.ca/real-estate/24171923/1657-highway-311-central-north-river-central-north-river,449000,1657 Highway 311,"Central North River, Nova Scotia B6L6E8",B6L6E8,MLS  Number: 202204827,3,3,2,Single Family,House,1,Central North River,Freehold,1 - 3 acres,1995,"Garage, Attached Garage, Gravel, Parking Space(s)",3 days,,2288,"Stove, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Full (Finished),B6L6,B6L,0
"03/26/2022, 13:34:59",https://www.realtor.ca/real-estate/24171186/59-duke-street-new-glasgow-new-glasgow,149999,59 Duke Street,"New Glasgow, Nova Scotia B2H1R2",B2H1R2,MLS  Number: 202204804,3,3,1,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,1915,Gravel,4 days,"Oct 2, 2015 Sold $112,000",960,"Stove, Dryer, Washer, Refrigerator",Stone,Detached,,Full (Unfinished),B2H1,B2H,0.042615878
"03/26/2022, 13:35:39",https://www.realtor.ca/real-estate/24171520/10-bob-lee-drive-bible-hill-bible-hill,129000,10 Bob Lee Drive,"Bible Hill, Nova Scotia B2N4J2",B2N4J2,MLS  Number: 202204814,2,2,1,Single Family,Mobile Home,1,Bible Hill,Freehold,,1989,Gravel,4 days,,840,"Stove, Refrigerator",,,Mini,None,B2N4,B2N,0
"03/26/2022, 13:36:02",https://www.realtor.ca/real-estate/24171185/315-clivedon-court-fall-river-fall-river,899000,315 Clivedon Court,"Fall River, Nova Scotia B2T0L5",B2T0L5,MLS  Number: 202204803,3,4,4,Single Family,House,2,Fall River,Freehold,1 - 3 acres,2019,"Garage, Attached Garage",4 days,"May 6, 2021 Sold $765,000",3300,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B2T0,B2T,0.175163399
"03/26/2022, 13:36:26",https://www.realtor.ca/real-estate/24171521/140-willowhill-ridge-waverley-waverley,599900,140 Willowhill Ridge,"Waverley, Nova Scotia B2R1X3",B2R1X3,MLS  Number: 202204815,3,4,3,Single Family,House,1,Waverley,Freehold,1 - 3 acres,,"Garage, Attached Garage",4 days,"May 22, 2012 Sold $415,000",3059,"Range, Stove, Dishwasher, Dryer, Washer, Refrigerator, Wine Fridge, Central Vacuum",Poured Concrete,Detached,Character,,B2R1,B2R,0.037535766
"03/26/2022, 13:36:49",https://www.realtor.ca/real-estate/24171525/497-highway-1-mount-uniacke-mount-uniacke,649900,497 Highway 1,"Mount Uniacke, Nova Scotia B0N1Z0",B0N1Z0,MLS  Number: 202204820,3,3,2,Single Family,House,2,Mount Uniacke,Freehold,under 1/2 acre,,Gravel,4 days,,1444,"Stove, Dishwasher, Washer/Dryer Combo, Microwave Range Hood Combo, Refrigerator",Concrete Slab,Detached,,None,B0N1,B0N,0
"03/26/2022, 13:37:13",https://www.realtor.ca/real-estate/24171518/27-westridge-drive-halifax-halifax,309000,27 Westridge Drive,"Halifax, Nova Scotia B3M1K6",B3M1K6,MLS  Number: 202204812,3,3,2,Single Family,Row / Townhouse,2,Halifax,Condominium/Strata,,1973,Parking Space(s),4 days,,1602,"Stove, Dishwasher, Dryer, Washer, Refrigerator",,,,,B3M1,B3M,0
"03/26/2022, 13:37:36",https://www.realtor.ca/real-estate/24171519/844-west-lawrencetown-road-lawrencetown-lawrencetown,399000,844 West Lawrencetown Road,"Lawrencetown, Nova Scotia B2Z1S6",B2Z1S6,MLS  Number: 202204813,3,5,2,Single Family,House,1,Lawrencetown,Freehold,1 - 3 acres,1976,"Garage, Detached Garage",4 days,,1440,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished),B2Z1,B2Z,0
"03/26/2022, 13:37:59",https://www.realtor.ca/real-estate/24171523/62a-frederick-avenue-fairview-fairview,549900,62A Frederick Avenue,"Fairview, Nova Scotia B3N2K6",B3N2K6,MLS  Number: 202204818,3,4,4,Single Family,House,2,Fairview,Freehold,under 1/2 acre,2012,,4 days,,2338,"Oven - Electric, Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,2 Level,Full (Finished),B3N2,B3N,0
"03/26/2022, 13:38:22",https://www.realtor.ca/real-estate/24171524/1124-monk-road-upper-branch-upper-branch,115000,1124 Monk Road,"Upper Branch, Nova Scotia B4V4Y1",B4V4Y1,MLS  Number: 202204819,2,2,1,Single Family,House,1,Upper Branch,Freehold,1 - 3 acres,2002,Gravel,4 days,,877,,,Detached,Character,None,B4V4,B4V,0
"03/26/2022, 13:38:57",https://www.realtor.ca/real-estate/24170839/5668-ogilvie-street-halifax-halifax,1595000,5668 Ogilvie Street,"Halifax, Nova Scotia B3H1C1",B3H1C1,MLS  Number: 202204795,4,6,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2003,"Garage, Detached Garage",4 days,"Jan 12, 2016 Sold $1,115,000",3960,"Oven, Range - Gas, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,,Full (Finished),B3H1,B3H,0.06148608
"03/26/2022, 13:39:20",https://www.realtor.ca/real-estate/24170997/703-1990-vernon-street-halifax-peninsula-halifax-peninsula,799000,703 1990 Vernon Street,"Halifax Peninsula, Nova Scotia B3H0B8",B3H0B8,MLS  Number: 202204799,2,2,2,Single Family,Apartment,1,Halifax Peninsula,Condominium/Strata,,2018,"Garage, Underground, Parking Space(s)",4 days,,1140,"Range, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,None,B3H0,B3H,0
"03/26/2022, 13:39:43",https://www.realtor.ca/real-estate/24170837/11-castleton-crescent-dartmouth-dartmouth,595000,11 Castleton Crescent,"Dartmouth, Nova Scotia B2X3N9",B2X3N9,MLS  Number: 202204792,4,4,4,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1985,"Garage, Detached Garage",4 days,,3964,,Poured Concrete,Detached,,Full (Partially finished),B2X3,B2X,0
"03/26/2022, 13:40:06",https://www.realtor.ca/real-estate/24170996/1158-avondale-road-poplar-grove-poplar-grove,399900,1158 Avondale Road,"Poplar Grove, Nova Scotia B0N2A0",B0N2A0,MLS  Number: 202204798,3,3,2,Single Family,House,2,Poplar Grove,Freehold,1 - 3 acres,1986,"Garage, Detached Garage, Gravel",4 days,"Sep 18, 2015 Sold $215,000",1819,"Cooktop, Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished),B0N2,B0N,0.09270228
"03/26/2022, 13:40:30",https://www.realtor.ca/real-estate/24170838/9230-sherbrooke-road-thorburn-thorburn,274700,9230 Sherbrooke Road,"Thorburn, Nova Scotia B0K1W0",B0K1W0,MLS  Number: 202204793,3,3,3,Single Family,House,2,Thorburn,Freehold,1 - 3 acres,,"Garage, Detached Garage",4 days,,1746,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B0K1,B0K,0
"03/26/2022, 13:40:53",https://www.realtor.ca/real-estate/24170712/62-macdonald-street-truro-truro,140000,62 MacDonald Street,"Truro, Nova Scotia B2N1T3",B2N1T3,MLS  Number: 202204783,3,3,1,Single Family,House,2,Truro,Freehold,under 1/2 acre,,Garage,4 days,,1056,,Poured Concrete,Detached,,Full (Unfinished),B2N1,B2N,0
"03/26/2022, 13:41:17",https://www.realtor.ca/real-estate/24170656/277-laurel-ridge-beaver-bank-beaver-bank,699000,277 Laurel Ridge,"Beaver Bank, Nova Scotia B4G1H7",B4G1H7,MLS  Number: 202204777,3,3,3,Single Family,House,1,Beaver Bank,Freehold,1 - 3 acres,,"Garage, Attached Garage",4 days,"Feb 28, 2006 Sold $287,344",3221,,Poured Concrete,Detached,Character,,B4G1,B4G,0.057133146
"03/26/2022, 13:41:41",https://www.realtor.ca/real-estate/24170657/515-bluenose-avenue-meadowvale-meadowvale,369900,515 Bluenose Avenue,"Meadowvale, Nova Scotia B0P1R0",B0P1R0,MLS  Number: 202204779,2,3,2,Single Family,House,1,Meadowvale,Freehold,1/2 - 1 acre,1990,"Garage, Detached Garage",4 days,"Aug 3, 2021 Sold $260,000",1764,"Range - Electric, Dryer, Washer, Refrigerator, Hot Tub",Poured Concrete,Detached,,Full (Finished),B0P1,B0P,0.422692308
"03/26/2022, 13:42:29",https://www.realtor.ca/real-estate/24170658/2239-langille-drive-coldbrook-coldbrook,349000,2239 Langille Drive,"Coldbrook, Nova Scotia B4R1C3",B4R1C3,MLS  Number: 202204780,3,3,3,Single Family,House,1,Coldbrook,Freehold,under 1/2 acre,2004,Gravel,4 days,"Feb 25, 2010 Sold $200,000",2028,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished),B4R1,B4R,0.047489358
"03/26/2022, 13:42:53",https://www.realtor.ca/real-estate/24170660/26-batten-crescent-sackville-sackville,309900,26 Batten Crescent,"Sackville, Nova Scotia B4E3G6",B4E3G6,MLS  Number: 202204782,0,3,2,Single Family,House,1,Sackville,Freehold,under 1/2 acre,2000,,4 days,"Aug 2, 2012 Sold $201,900",1536,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B4E3,B4E,0.04377893
"03/26/2022, 13:43:16",https://www.realtor.ca/real-estate/24170713/1156-susan-drive-beaver-bank-beaver-bank,119000,1156 Susan Drive,"Beaver Bank, Nova Scotia B4E1P1",B4E1P1,MLS  Number: 202204784,3,3,1,Single Family,Mobile Home,1,Beaver Bank,Leasehold,Unknown,1997,,4 days,,896,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",,,Mini,None,B4E1,B4E,0
"03/26/2022, 13:43:39",https://www.realtor.ca/real-estate/24170659/5750-southwood-drive-halifax-halifax,1330000,5750 Southwood Drive,"Halifax, Nova Scotia B3H4P4",B3H4P4,MLS  Number: 202204781,3,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,,Garage,4 days,,3700,Central Vacuum,Poured Concrete,Detached,,,B3H4,B3H,0
"03/26/2022, 13:44:01",https://www.realtor.ca/real-estate/24170510/212-5221-cornwallis-street-halifax-halifax,329900,212 5221 Cornwallis Street,"Halifax, Nova Scotia B3K0B6",B3K0B6,MLS  Number: 202204767,1,1,1,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,2008,"Garage, Attached Garage, Underground",4 days,"Jul 28, 2016 Sold $231,500",720,"Range - Electric, Dishwasher, Refrigerator",Poured Concrete,,,None,B3K0,B3K,0.060812316
"03/26/2022, 13:44:24",https://www.realtor.ca/real-estate/24170509/40-windrock-drive-bedford-bedford,519900,40 Windrock Drive,"Bedford, Nova Scotia B4A3E4",B4A3E4,MLS  Number: 202204766,3,4,3,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1987,Garage,4 days,"Jun 18, 2018 Sold $320,000",2644,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,,,B4A3,B4A,0.128996147
"03/26/2022, 13:44:47",https://www.realtor.ca/real-estate/24170511/24-grayson-court-lower-sackville-lower-sackville,369900,24 Grayson Court,"Lower Sackville, Nova Scotia B4C0A8",B4C0A8,MLS  Number: 202204768,0,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,2007,Gravel,4 days,,1428,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,,B4C0,B4C,0
"03/26/2022, 13:45:10",https://www.realtor.ca/real-estate/24170531/49-ascot-way-lower-sackville-lower-sackville,429000,49 Ascot Way,"Lower Sackville, Nova Scotia B4E2J1",B4E2J1,MLS  Number: 202204770,4,5,3,Single Family,House,2,Lower Sackville,Freehold,under 1/2 acre,1988,,4 days,"Jan 5, 2021 Sold $341,500",2786,,Poured Concrete,Detached,Cape Cod,Full (Finished),B4E2,B4E,0.256222548
"03/26/2022, 13:45:50",https://www.realtor.ca/real-estate/24170124/6820-highway-7-gaetz-brook-gaetz-brook,359900,6820 Highway 7,"Gaetz Brook, Nova Scotia B0J1N0",B0J1N0,MLS  Number: 202204764,2,3,2,Single Family,House,1,Gaetz Brook,Freehold,under 1/2 acre,1980,"Garage, Attached Garage, Gravel",4 days,"Mar 28, 2019 Sold $227,000",1900,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,,B0J1,B0J,0.166054
"03/26/2022, 13:46:14",https://www.realtor.ca/real-estate/24170085/52-masters-avenue-kentville-kentville,219900,52 Masters Avenue,"Kentville, Nova Scotia B4N2N7",B4N2N7,MLS  Number: 202204758,4,4,2,Single Family,House,2,Kentville,Freehold,under 1/2 acre,1942,Carport,4 days,"Sep 1, 2009 Sold $90,813",2076,,"Concrete Block, Poured Concrete",Detached,,,B4N2,B4N,0.07039581
"03/26/2022, 13:46:53",https://www.realtor.ca/real-estate/24170086/980-highway-236-scotch-village-scotch-village,179900,980 Highway 236,"Scotch Village, Nova Scotia B0N2A0",B0N2A0,MLS  Number: 202204760,2,2,1,Single Family,House,1,Scotch Village,Freehold,3 - 10 acres,1970,Gravel,4 days,,800,"Stove, Dryer, Washer, Refrigerator","Concrete Block, Poured Concrete",Detached,Character,Full (Unfinished),B0N2,B0N,0
"03/26/2022, 13:47:16",https://www.realtor.ca/real-estate/24170122/21-brookview-road-cole-harbour-cole-harbour,279900,21 Brookview Road,"Cole Harbour, Nova Scotia B2V2V6",B2V2V6,MLS  Number: 202204762,1,4,2,Single Family,House,1,Cole Harbour,Freehold,under 1/2 acre,2002,,4 days,"Nov 18, 2011 Sold $185,000",1360,,Poured Concrete,Semi-detached,,,B2V2,B2V,0.038360809
"03/26/2022, 13:47:39",https://www.realtor.ca/real-estate/24169714/328-highway-12-chester-basin-chester-basin,199900,328 Highway 12,"Chester Basin, Nova Scotia B0J1K0",B0J1K0,MLS  Number: 202204755,2,2,1,Single Family,House,1,Chester Basin,Freehold,1 - 3 acres,1989,,4 days,"Nov 18, 2015 Sold $81,500",784,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Mini,Full (Unfinished),B0J1,B0J,0.136750166
"03/26/2022, 13:48:02",https://www.realtor.ca/real-estate/24169450/581-highway-215-brooklyn-brooklyn,149900,581 Highway #215,"Brooklyn, Nova Scotia B0N2A0",B0N2A0,MLS  Number: 202204754,2,2,1,Single Family,House,1,Brooklyn,Freehold,under 1/2 acre,,Gravel,4 days,"Jan 8, 2021 Sold $60,400",704,"Dryer, Washer",Concrete Block,Detached,Character,Full,B0N2,B0N,1.481788079
"03/26/2022, 13:48:25",https://www.realtor.ca/real-estate/24168642/44-high-street-plymouth-plymouth,209900,44 High Street,"Plymouth, Nova Scotia B0K1S0",B0K1S0,MLS  Number: 202204752,2,2,1,Single Family,House,1,Plymouth,Freehold,under 1/2 acre,,Gravel,4 days,,1134,,,Detached,Character,Crawl space,B0K1,B0K,0
"03/26/2022, 13:48:48",https://www.realtor.ca/real-estate/24167879/3480-clam-harbour-road-clam-harbour-clam-harbour,239900,3480 Clam Harbour Road,"Clam Harbour, Nova Scotia B0J2L0",B0J2L0,MLS  Number: 202204746,3,4,1,Single Family,House,1,Clam Harbour,Freehold,1/2 - 1 acre,2006,Gravel,4 days,"Apr 1, 2010 Sold $122,000",2003,"Stove, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,,,B0J2,B0J,0.057968007
"03/26/2022, 13:49:25",https://www.realtor.ca/real-estate/24167056/23159-highway-7-watt-section-watt-section,349900,23159 Highway 7,"Watt Section, Nova Scotia B0J3B0",B0J3B0,MLS  Number: 202204734,5,5,2,Single Family,House,2,Watt Section,Freehold,3 - 10 acres,1998,"Garage, Detached Garage, Gravel",4 days,,2466,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Crawl space,B0J3,B0J,0
"03/26/2022, 13:49:49",https://www.realtor.ca/real-estate/24167057/25307-highway-7-port-dufferin-port-dufferin,379900,25307 Highway 7,"Port Dufferin, Nova Scotia B0J2R0",B0J2R0,MLS  Number: 202204735,3,4,2,Single Family,House,2,Port Dufferin,Freehold,1 - 3 acres,2004,"Garage, Attached Garage, Detached Garage, Gravel",4 days,"Oct 29, 2020 Sold $250,000",1998,"Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished),B0J2,B0J,0.232720568
"03/26/2022, 13:50:12",https://www.realtor.ca/real-estate/24167058/18-miller-road-salmon-river-salmon-river,149500,18 MILLER Road,"Salmon River, Nova Scotia B2N4Y8",B2N4Y8,MLS  Number: 202204736,2,2,1,Single Family,House,1,Salmon River,Freehold,under 1/2 acre,1964,"Garage, Detached Garage",4 days,,595,"Range - Electric, Dryer - Electric, Washer, Refrigerator",Concrete Block,Detached,Character,Full (Unfinished),B2N4,B2N,0
"03/26/2022, 13:50:35",https://www.realtor.ca/real-estate/24166920/37-sherbrooke-avenue-bridgewater-bridgewater,199900,37 Sherbrooke Avenue,"Bridgewater, Nova Scotia B4V4E8",B4V4E8,MLS  Number: 202204729,2,2,2,Single Family,Mobile Home,1,Bridgewater,Freehold,,2008,Other,4 days,,1152,"Cooktop - Electric, Oven, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Water meter",,,Mini,None,B4V4,B4V,0
"03/26/2022, 13:50:58",https://www.realtor.ca/real-estate/24166922/1481-oakland-road-oakland-oakland,649000,1481 Oakland Road,"Oakland, Nova Scotia B0J2E0",B0J2E0,MLS  Number: 202204731,3,3,1,Single Family,House,2,Oakland,Freehold,1 - 3 acres,1872,Garage,4 days,,1700,,Stone,Detached,Cape Cod,Full (Unfinished),B0J2,B0J,0
"03/26/2022, 13:51:27",https://www.realtor.ca/real-estate/24166719/39-ancaster-court-cole-harbour-cole-harbour,375000,39 Ancaster Court,"Cole Harbour, Nova Scotia B2V1J2",B2V1J2,MLS  Number: 202204715,3,4,2,Single Family,House,1,Cole Harbour,Freehold,under 1/2 acre,1973,"Garage, Attached Garage",4 days,"Jul 4, 2013 Sold $210,000",1219,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),B2V1,B2V,0.066544813
"03/26/2022, 13:51:50",https://www.realtor.ca/real-estate/24166722/629-herring-cove-road-spryfield-spryfield,449000,629 Herring Cove Road,"Spryfield, Nova Scotia B3R1X8",B3R1X8,MLS  Number: 202204720,3,4,3,Single Family,House,2,Spryfield,Freehold,under 1/2 acre,,,4 days,,1532,,Poured Concrete,Semi-detached,,,B3R1,B3R,0
"03/26/2022, 13:52:13",https://www.realtor.ca/real-estate/24166723/56-armbro-lane-cole-harbour-cole-harbour,299900,56 Armbro Lane,"Cole Harbour, Nova Scotia B2V1N8",B2V1N8,MLS  Number: 202204721,3,3,2,Single Family,House,2,Cole Harbour,Freehold,under 1/2 acre,1976,,4 days,"Sep 17, 2018 Sold $173,000",1445,"Range, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Semi-detached,,,B2V1,B2V,0.147446883
"03/26/2022, 13:52:51",https://www.realtor.ca/real-estate/24166919/37-eliza-ritchie-crescent-rockingham-rockingham,634900,37 Eliza Ritchie Crescent,"Rockingham, Nova Scotia B3M0K5",B3M0K5,MLS  Number: 202204726,3,4,4,Single Family,Row / Townhouse,3,Rockingham,Freehold,under 1/2 acre,2019,"Garage, Attached Garage",4 days,,2475,"Range, Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,,,,B3M0,B3M,0
"03/26/2022, 13:53:15",https://www.realtor.ca/real-estate/24166921/104-angler-drive-herring-cove-herring-cove,659000,104 Angler Drive,"Herring Cove, Nova Scotia B3R0C8",B3R0C8,MLS  Number: 202204730,3,4,4,Single Family,House,2,Herring Cove,Freehold,under 1/2 acre,2021,"Garage, Attached Garage",4 days,"Dec 14, 2020 Sold $424,900",2748,"Stove, Dryer, Washer, Microwave Range Hood Combo, Fridge/Stove Combo",Poured Concrete,Detached,3 Level,Full (Finished),B3R0,B3R,0.245372701
"03/26/2022, 13:53:38",https://www.realtor.ca/real-estate/24166720/2055-east-prince-street-salmon-river-salmon-river,118000,2055 EAST PRINCE Street,"Salmon River, Nova Scotia B6L3J3",B6L3J3,MLS  Number: 202204717,2,2,1,Single Family,House,1,Salmon River,Freehold,under 1/2 acre,,Gravel,4 days,,564,"Stove, Refrigerator",Concrete Block,Detached,Character,None,B6L3,B6L,0
"03/26/2022, 13:54:01",https://www.realtor.ca/real-estate/24166924/232-brunswick-street-truro-truro,259900,232 Brunswick Street,"Truro, Nova Scotia B2N2J1",B2N2J1,MLS  Number: 202204732,3,3,2,Single Family,House,2,Truro,Freehold,under 1/2 acre,,"Garage, Detached Garage, Gravel",4 days,"Oct 30, 2015 Sold $57,280",1416,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),B2N2,B2N,0.241163623
"03/26/2022, 13:54:23",https://www.realtor.ca/real-estate/24166726/103-bucheron-crescent-middle-sackville-middle-sackville,425000,103 Bucheron Crescent,"Middle Sackville, Nova Scotia B4E3E9",B4E3E9,MLS  Number: 202204725,3,3,3,Single Family,House,2,Middle Sackville,Freehold,under 1/2 acre,2000,,4 days,"Aug 8, 2008 Sold $222,000",1689,,Poured Concrete,Detached,,,B4E3,B4E,0.047479242
"03/26/2022, 13:54:46",https://www.realtor.ca/real-estate/24166521/503-36-southgate-drive-bedford-bedford,584900,503 36 Southgate Drive,"Bedford, Nova Scotia B4A4M4",B4A4M4,MLS  Number: 202204713,2,2,2,Single Family,Apartment,1,Bedford,Condominium/Strata,,2007,"Garage, Underground",5 days,"Apr 15, 2013 Sold $330,000",1580,"Stove, Dishwasher, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,None,B4A4,B4A,0.065659918
"03/26/2022, 13:55:09",https://www.realtor.ca/real-estate/24166522/60-lavinia-drive-truro-truro,254900,60 Lavinia Drive,"Truro, Nova Scotia B2N5R3",B2N5R3,MLS  Number: 202204714,2,2,1,Single Family,House,1,Truro,Freehold,under 1/2 acre,2020,,5 days,,884,"Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Crawl space,B2N5,B2N,0
"03/26/2022, 13:55:34",https://www.realtor.ca/real-estate/24166520/th07-1048-wellington-street-halifax-halifax,749900,TH07 1048 Wellington Street,"Halifax, Nova Scotia B3H2Z8",B3H2Z8,MLS  Number: 202204711,2,2,3,Single Family,Row / Townhouse,2,Halifax,Condominium/Strata,under 1/2 acre,2021,"Garage, Underground",5 days,,1141,"Gas stove(s), Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",,,,None,B3H2,B3H,0
"03/26/2022, 13:56:14",https://www.realtor.ca/real-estate/24165853/155-lexington-drive-valley-valley,2599000,155 Lexington Drive,"Valley, Nova Scotia B6L3T8",B6L3T8,MLS  Number: 202204691,4,5,4,Single Family,House,2,Valley,Freehold,1/2 - 1 acre,2012,"Garage, Attached Garage",5 days,,7317,"Cooktop - Propane, Oven - Electric, Dishwasher, Dryer - Electric, Washer, Freezer - Stand Up, Refrigerator, Water softener, Hot Tub, Gas stove(s)",Poured Concrete,Detached,,,B6L3,B6L,0
"03/26/2022, 13:57:20",https://www.realtor.ca/real-estate/24166111/2851-highway-320-poulamon-poulamon,189000,2851 Highway 320,"Poulamon, Nova Scotia B0E1K0",B0E1K0,MLS  Number: 202204703,3,6,2,Single Family,House,2,Poulamon,Freehold,under 1/2 acre,,"Garage, Detached Garage",5 days,,1250,,Concrete Block,Detached,,Crawl space,B0E1,B0E,0
"03/26/2022, 13:57:54",https://www.realtor.ca/real-estate/24165852/19466-highway-2-fort-ellis-fort-ellis,299900,19466 Highway 2,"Fort Ellis, Nova Scotia B0N2J0",B0N2J0,MLS  Number: 202204690,2,2,1,Single Family,House,1,Fort Ellis,Freehold,1 - 3 acres,1988,"Garage, Detached Garage, Gravel",5 days,,1008,,Poured Concrete,Detached,Character,,B0N2,B0N,0
"03/26/2022, 13:58:17",https://www.realtor.ca/real-estate/24166110/5-tynes-court-lower-sackville-lower-sackville,399900,5 Tynes Court,"Lower Sackville, Nova Scotia B4C3Y9",B4C3Y9,MLS  Number: 202204700,2,3,1,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,2003,Gravel,5 days,"Mar 11, 2013 Sold $205,000",1744,"Cooktop - Electric, Oven - Electric, Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,2 Level,,B4C3,B4C,0.0770706
"03/26/2022, 13:58:40",https://www.realtor.ca/real-estate/24165516/9643-commercial-street-new-minas-new-minas,235000,9643 Commercial Street,"New Minas, Nova Scotia B4N3G6",B4N3G6,MLS  Number: 202204673,2,2,1,Single Family,House,2,New Minas,Freehold,1 - 3 acres,1952,"Garage, Detached Garage",5 days,,1448,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished),B4N3,B4N,0
"03/26/2022, 13:59:03",https://www.realtor.ca/real-estate/24165518/55-crocker-road-harmony-harmony,287500,55 Crocker Road,"Harmony, Nova Scotia B0P1R0",B0P1R0,MLS  Number: 202204676,2,2,2,Single Family,House,1,Harmony,Freehold,3 - 10 acres,,Gravel,5 days,"Nov 9, 2020 Sold $160,000",1320,"Range, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",,Detached,Character,Crawl space,B0P1,B0P,0.340475662
"03/26/2022, 13:59:43",https://www.realtor.ca/real-estate/24165517/389-waverley-road-dartmouth-dartmouth,880000,389 Waverley Road,"Dartmouth, Nova Scotia B2X2E7",B2X2E7,MLS  Number: 202204674,1,2,2,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1950,Other,5 days,,1971,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,Full (Finished),B2X2,B2X,0
"03/26/2022, 14:00:07",https://www.realtor.ca/real-estate/24165664/100-samuel-danial-drive-eastern-passage-eastern-passage,399900,100 Samuel Danial Drive,"Eastern Passage, Nova Scotia B3G1S8",B3G1S8,MLS  Number: 202204683,3,4,2,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,2001,,5 days,,2113,"Stove, Dishwasher, Dryer, Washer, Freezer - Stand Up, Refrigerator",Poured Concrete,Detached,Character,,B3G1,B3G,0
